in millions,"Three Months Ended.August 3
202 , g
2025","Three Months Ended.July 28
2024 , y 
2024","Six Months Ended.August 3
202 , g
2025","Six Months Ended.July 28
2024 , y 
2024"
Net sales  –  in the U . S .,"$  41 , 729","$  39 , 513","$  78 , 953","$  73 , 082"
Net sales  –  outside the U . S,"3 , 548","3 , 662","6 , 180","6 , 511"
Net sales,"$  45 , 277","$  43 , 175","$  85 , 133","$  79 , 593"
