in millions,"Three Months Ended.August 3 , 2025","Three Months Ended.July 28 , 2024","Six Months Ended.August 3 , 2025","Six Months Ended.July 28 , 2024"
Net sales  –  products,"$  43 , 725","$  41 , 605","$  82 , 237","$  76 , 683"
Net sales  –  services,"1 , 552","1 , 570","2 , 896","2 , 910"
Net sales,"$  45 , 277","$  43 , 175","$  85 , 133","$  79 , 593"
