Selected financial and sales data:,"Six Months Ended.August 3 , 2025","Six Months Ended.July 28 , 2024",% Change
Comparable sales (% change),0 . 4 %,(3 . 1)%,N/A
Comparable customer transactions (% change)  (1),(0 . 5)%,(1 . 9)%,N/A
Comparable average ticket (% change)  (1) (2),0 . 7 %,(1 . 3)%,N/A
Customer transactions (in millions)  (1),841 . 6,837 . 8,0 . 5 %
Average ticket  (1) (2),90 . 34,$  89 . 72,0 . 7
Diluted earnings per share,8 . 03,$  8 . 23,(2 . 4)%
