in millions,"August 3 ,  2025.Fair Value (Level 1)","August 3 ,  2025.Carrying Value","February 2 ,  2025.Fair Value (Level 1)","February 2 ,  2025.Carrying Value"
Senior notes,"$  46 , 296","$  48 , 949","$  45 , 499","$  49 , 731"
