in millions,"Three Months Ended.August 3
202 , g
2025","Three Months Ended.July 28
2024 , y 
2024","Six Months Ended.August 3
202 , g
2025","Six Months Ended.July 28
2024 , y 
2024"
Basic weighted average common shares,992,990,992,989
Effect of potentially dilutive securities  (1),2,2,2,3
Diluted weighted average common shares,994,992,994,992
Anti - dilutive securities excluded from diluted weighted average common shares,1,1,1,1
