in millions,"August 3 ,  2025  Fair Value (Level 2)","February 2 ,  2025 Fair Value (Level 2)"
Derivative agreements  –  assets,$  —,$  —
Derivative agreements  – liabilities,(601),(795)
Total,$  (601),$  (795)
