in millions,"Three Months Ended.August 3 , 2025","Three Months Ended.July 28 , 2024","Six Months Ended.August 3 , 2025","Six Months Ended.July 28 , 2024"
Building Materials,"$  14 , 172","$  13 , 982","$  27 , 103","$  26 , 584"
Décor,"13 , 856","13 , 752","26 , 335","26 , 287"
Hardlines,"14 , 129","14 , 167","26 , 006","25 , 448"
Primary segment net sales,"42 , 157","41 , 901","79 , 444","78 , 319"
Other net sales  (1),"3 , 120","1 , 274","5 , 689","1 , 274"
Net sales,"$  45 , 277","$  43 , 175","$  85 , 133","$  79 , 593"
