in millions,"Three Months Ended  August 3 ,  2025.Primary Segment","Three Months Ended  August 3 ,  2025.Other","Three Months Ended  August 3 ,  2025.Consolidated","Six Months Ended August 3 ,  2025.Primary Segment","Six Months Ended August 3 ,  2025.Other","Six Months Ended August 3 ,  2025.Consolidated"
Net sales,"$  42 , 157","$  3 , 120","$  45 , 277","$  79 , 444","$  5 , 689","$  85 , 133"
Operating income,"6 , 354",201,"6 , 555","11 , 400",288,"11 , 688"
"Interest income and other ,  net",,,(25),,,(49)
Interest expense,,,575,,,"1 , 190"
Earnings before provision for income taxes,,,"$  6 , 005",,,"$  10 , 547"
Depreciation and amortization  (1),$  838,$  150,$  988,"$  1 , 669",$  297,"$  1 , 966"
