Selected financial and sales data:,"Three Months Ended.August 3 , 2025","Three Months Ended.July 28 , 2024",% Change
Comparable sales (% change),1 . 0 %,(3 . 3)%,N/A
Comparable customer transactions (% change)  (1),(0 . 4)%,(2 . 2)%,N/A
Comparable average ticket (% change)  (1) (2),1 . 4 %,(1 . 3)%,N/A
Customer transactions (in millions)  (1),446 . 8,451 . 0,(0 . 9)%
Average ticket  (1) (2),$  90 . 01,$  88 . 90,1 . 2 %
Diluted earnings per share,$  4 . 58,$  4 . 60,(0 . 4)%
