in millions,"Three Months Ended.August 3 , 2025","Three Months Ended.July 28 , 2024","Six Months Ended.August 3 , 2025","Six Months Ended.July 28 , 2024"
Net sales,"$  42 , 157","$  41 , 901","$  79 , 444","$  78 , 319"
Cost of sales,"27 , 728","27 , 766","52 , 112","51 , 751"
"Selling ,  general and administrative","7 , 375","6 , 980","14 , 539","13 , 647"
Depreciation and amortization,700,693,"1 , 393","1 , 380"
Primary segment operating income,"$  6 , 354","$  6 , 462","$  11 , 400","$  11 , 541"
